Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
Student Employee - Data Science,Electric Power Research Institute,"Charlotte, NC","$82,980 /yr (est.)",5.0,"Job Title:
Student Employee - Data Science
Location:
Charlotte, NC
Job Summary and Description:
This role is primarily related to Data Science, so degree programs focused on scientific disciplines in this area are preferred.
Candidates will support subject matter experts and data scientists in a variety of data analysis tasks that may include: literature review; data review and preparation; model development and implementation; and model results review and assessment.
This opportunity will require the candidate to be in a degree program that is focused on engineering or scientific disciplines. These include, but are not limited to:",Unknown,Company - Private,Unknown / Non-Applicable,,,
Data Science Engineer,Moorecroft Systems,Remote,$52.50 /hr (est.),,"Senior Data Science Engineer
Moorecroft is looking to hire a seasoned Data Science Engineer with experience working with petabyte-size data sets to assist one of our Global Media Company clients. They are leaders in the entertainment and streaming business. This consulting role will continue for multiple years and can done Remotely.
The role will be to work closely with their Data Science and CRM teams to leverage a multitude of Data assets sources to reach impactful and actionable data driven insights. You will lead cross function Sprints, champion best coding practices of Data Science teams, build relationships with business partners.
Core Skills and Experience needed",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,,,
Data Science Engineer,Dataquestcorp,"Branchburg, NJ","$75,000 /yr (est.)",,"We are providing free training and placement opportunity on data science like python, tableau, Machine learning and Bigdata.
Benefits:
Free Training and placement.
H1B Sponsorship
We do support for STEM OPT and GC processing.
Health Insurance
Relocation Assistance any where in USA.",,,,,,
Data Engineer,eTeam Inc.,"Thomasville, GA","$91,760 /yr (est.)",4.4,"Senior level with 6 9 years experience data engineering or architecture role.

Key skills will be:
ADF
Use of logic apps
Databricks; SQL and/or Python notebooks
ADLS storage
Experience with AAS
Experience with SAP data sources
Experience working with analytics and data science teams",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Junior Data Scientist,Augray,"Brookfield, WI","$57,500 /yr (est.)",4.3,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data science instructor,MIM,Remote,"$131,513 /yr (est.)",,"ABOUT MIM
MIM is a New York based institution that offers management and technology courses since 1984. Given the growing demand for skilled and passionate data scientists, MIM is looking for experienced and passionate instructors for its Data Science Bootcamp. This program will allow our graduates to enhance their data analytics and technology skills hands-on by working with data, writing code and building machine learning models. It will help them find many new career opportunities for make career changes.
https://www.mimusa.edu/
Job Description
Role Description",,,,,,
BHJOB15656_16794 - Data Scientist,Myticas Consulting,Remote,"$131,513 /yr (est.)",3.7,"The recruitment team here at Myticas is looking to hire 2 Data Scientists to assist with building our client's nextgen (next generation) of advanced analytics products using AI, Data Science, and ML (Machine learning).
The Data Scientists we are seeking will collaborate across internal teams to create predictive models and identify opportunities to make informed business decisions and create value for our customer base. The primary responsibilities will be applying a knowledge of statistics, machine learning (ML) programming, data modeling, simulation, and advanced mathematics for recognizing patterns, identify opportunities, posing business questions, and making valuable discoveries leading to prototype development and new product offerings.
REQUIREMENTS:",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,
Data Science Assistant,United Nations,"New York, NY","$88,585 /yr (est.)",4.0,"This position is located in the Analytics Section of the Analytics and Project Management Service of the Business Transformation and Accountability Division (BTAD) in the Department of Management Strategy, Policy and Compliance (DMSPC). The incumbent reports to a Data Scientist.

For more information, please visit https://www.un.org/management/content/our-offices.
Responsibilities
Within delegated authority, the Data Science Assistant will be responsible for the following duties:

Assists with the preparation of input for response to requests for exploration, identification, and acquisition of data sources to determine their suitability for use in decision making and advancing the goals of the organization.
Competencies



Education
Work Experience








Languages
Assessment
Special Notice






United Nations Considerations










No Fee",10000+ Employees,1945,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
Data Scientist (Junior),BDSA,"Louisville, CO","$100,000 /yr (est.)",1.5,"Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data Scientist, you will work on highly complex projects supporting the Product and Professional Services teams with data wrangling, data cleaning, and data reporting tools and techniques.
Your day-to-day activities will involve using heterogeneous datasets to derive insights and automation. For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and deduplicate data.
QC/QA processes are critical elements of this work and you will spend substantial time automating and managing automated QC/QA systems. The datasets grow substantially day by day and automation of the QC/QA environment is a top priority.",Unknown,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,
Data Engineer,WALTLabs.io,Remote,"$110,000 /yr (est.)",,"WALTLabs.io is looking for an experienced and talented Data Engineer. The data engineer will be responsible for designing and building data pipelines within the GCP Ecosystem. This position will be partly client-facing.
Responsibilities
Build data systems and pipelines
Evaluate business needs and objectives
Prepare data for prescriptive and predictive modeling
Combine raw information from different sources
Daily delivery of work inside JIRA",,,,,,
Data Science Engineer,eTeam Inc.,"Chicago, IL","$91,578 /yr (est.)",4.4,"Primary Responsibilities:
Design machine learning systems to automate predictive models.
Develop Client algorithms to analyze historical data to make predictions.
Run tests, performing statistical analysis, and interpreting test results.
Develop and support data pipelines to extract, transform and load data into Google Data Center data warehouse.
Demonstrate ability and willingness to learn quickly and complete large volumes of work with high quality.",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Engineer,Amazon,Remote,"$275,000 /yr (est.)",3.8,"BASIC QUALIFICATIONS
5+ years of experience as a Data Engineer or in a similar role
Bachelor's degree in Computer Science, Engineering, Mathematics, or a related technical discipline.
4+ years of industry experience in Software Development, Data Engineering, Business Intelligence, Data Science, or related field with a track record of manipulating, processing, and extracting value from large datasets.
PREFERRED QUALIFICATIONS
Masters in computer science, mathematics, statistics, economics, or other quantitative fields.",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Scientist III,GTA (Global Technology Associates),"Englewood, CO","$80,000 /yr (est.)",4.4,"Looking for a Data Scientist III
What you will be doing as a Data Scientist III
Create applications using video analytics algorithms across different verticals
Create demos and PoCs using open-source libraries (GitHub) and hardware like Raspberry PI, Nvidia Jetson.
Collect and feature engineer data to train AI/ML models
Execute test cases and report results.
Debug equipment issues and collect logs.
Write scripts to automate testing and collect data.",Unknown,Company - Private,Unknown / Non-Applicable,,,
Jr. Data Scientist,Net2Aspire,Remote,"$72,500 /yr (est.)",," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.",,,,,,
Junior Data Scientist,Acima,"Draper, UT","$80,000 /yr (est.)",3.7,"ACIMA
Acima Credit is a young and dynamic leasing company that provides consumers financing options for life necessities that otherwise would not be available to them. We help with financing options from tires/wheels to furniture and appliances. Acima blends the use of innovative online technology with a fast and easy application process for thousands of retailers nationwide. Customers love us because we make the impossible possible. Retailers love us because we make it easy for them.
Summary:
We are looking for a developing data scientist that is interested in applying their understanding of machine learning techniques and statistics to analyze our many complex datasets. They will be nose deep in interesting payment, behavioral, credit, fraud, and economic datasets, to name a few. The insights gleaned and models trained from the analyses done on these datasets can quickly change the course of the company.",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
Data Science Associate (Remote),pulseData,"New York, NY","$59,922 /yr (est.)",5.0,"pulseData is changing the way healthcare data is utilized within major healthcare sectors. As a series A health-tech startup, we provide the insights necessary for medical staff to understand who has and is at risk of major chronic illnesses. We have rooted ourselves within the Kidney space, and have the capabilities of bringing our approach to many more patient populations given our capabilities.

We recently raised $16.5M in our series A and are growing fast. This means we are onboarding brilliant people and providing endless areas for our employees to grow their careers. We believe in trust and transparency, and enjoy a remote friendly working environment that promotes collaboration and diversity.
The Role:
In your role as a Data Science Associate, you will use machine learning to deliver insightful and actionable intelligence and predictive solutions to our team to improve Healthcare growth in our business. You will gain experience understanding healthcare and developing data driven solutions to improve care delivery, while working closely with other team members of our Data Science and engineering team to deliver value to our business partners. Aside from supporting our data science model creation and data teams, you'll also assist the product team with growth opportunities.",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Engineer,ManpowerGroup,"Burlington, IA","$90,375 /yr (est.)",4.0,"We are looking for a motivated and dynamic individual to join us as a Data Engineer for our North America Construction Equipment team! This person will hold planning responsibilities for the industry, market share, sales, production and inventory, and will work alongside knowledgeable colleagues to continue making a positive impact in the organization.
Compensation & Benefits: We offer competitive compensation with multiple benefit (medical/dental/vision) options to meet your individual needs. Our industry leading 401k will support you in meeting your retirement objectives. Additional benefits include: paid parental leave, life insurance, volunteer time off and much more!
Responsibilities:
Analyze industry trends and anticipate demand changes, taking vital actions to drive planning activities.",10000+ Employees,1948,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$10+ billion (USD)
Data Mentor (Part-time),Pathrise,Remote,$45.00 /hr (est.),4.6,"What is Pathrise?
Pathrise (YC W18) connects job seekers across North America to world class industry mentorship and career coaching to help them land a new career. The program is free upfront and our customers pay us back when they’re hired.

Built around aligned incentives, we help build equity in the job search process by providing 1-on-1 mentorship, training, and a platform to uplift job seekers and ultimately, help them fulfill their hopes, ambitions, and livelihoods. We’ve already helped more than a thousand fellows land meaningful jobs, and helped them earn over $100M in salary.

Last year, we raised our Series A and there is even more exciting growth on the horizon. In 2022, we have already expanded from 6 to 14 industries, launched a tiered pricing system with differentiated product offerings, and much more.",51 to 200 Employees,2017,Company - Private,Education & Training Services,Education,$1 to $5 million (USD)
Data Scientist,Motivated Leads,Remote,"$240,000 /mo (est.)",,"Data Scientist with Digital Space Experience
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Compensation:",,,,,,
Data Science Analyst,WIVERSE,Remote,"$92,500 /yr (est.)",4.1,"Contract to Hire
100% Remote
Purpose: The Data Science Analyst will support the leasing, development and marketing teams with insights gained from analyzing company data. The candidate must be adept at using large data sets to find opportunities and process optimization and using models to test the effectiveness of different courses of action. To succeed in this position, you must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building, and implementing models, using/creating algorithms, and creating/running simulations. You must have a proven ability to drive business results with your data-based insights.
Job Functions:
1. Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
2. Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies
3. Assess the effectiveness and accuracy of new data sources and data gathering techniques
4. Develop custom data models and algorithms to apply to data sets
5. Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
6. Coordinate with different functional teams to implement models and monitor outcomes
7. Develop processes and tools to monitor and analyze model performance and data accuracy
8. Develop company A/B testing framework and test model quality",51 to 200 Employees,2017,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Software Engineer - Data Science,Datadog,"New York, NY","$120,117 /yr (est.)",4.2,"The Data Science team designs and builds algorithmically driven features in the Datadog app. We work across a range of applications, primarily focusing on analysis on streaming data such as anomaly detection, error outliers and faulty deployment analysis. As a Software Engineer on the Data Science team, you will design, build and scale the backend systems that power our growing suite of Watchdog products. You will be working on large-scale distributed systems, horizontally-scalable datastores and a variety of data-processing frameworks to build our next-generation platform and capabilities for Data Science at Datadog.
At Datadog, we place value in our office culture - the relationships that it builds, the creativity it brings to the table, and the collaboration of being together. We operate as a hybrid workplace to ensure our employees can create a work-life harmony that best fits them.",1001 to 5000 Employees,2010,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Science Manager,Indeed,"Austin, TX","$201,000 /yr (est.)",4.4,"Your Job
The Hired Signal team plays a key role in fulfilling Indeed’s mission to help people get jobs. We build the centralized data source of hires that occur on Indeed, and we support other teams that use our data to improve Indeed’s products. Teams across the company use “hired signal” to train models, create personalized user experiences, test the impact of product changes (A/B testing), and conduct research.

The role of Data Science at Indeed is to follow the data. We log, analyze, visualize, and model terabytes of job search data. Our Data Scientists build and implement machine learning models to make timely decisions. Each of us is a mixture of a statistician, scientist, machine learning expert, and engineer. We have a passion for building and improving Internet-scale products. We seek to understand human behavior via careful experimentation and analysis, to ""help people get jobs"".

You understand that the best managers serve their teams by removing roadblocks and giving individual contributors autonomy and ownership. You have high standards and will take pride in Indeed like we do as well as push us to be better. You have delivered challenging technical solutions at scale. You have led Data Science or engineering teams, and earned the respect of talented practitioners. You are equally happy talking about deep learning and statistical inference, as you are brainstorming about practical experimental design and technology career development. You love being in the mix technically while providing leadership to your teams.

Responsibilities:",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD)
Advanced Data Engineer,Kroger,Remote,"$135,196 /yr (est.)",3.1,"POSITION SUMMARY
Accountable for leading activities that create deliverables to guide the direction, development, and delivery of technological responses to targeted business outcomes. Provide facilitation, analysis and design tasks required for the development of an enterprise's data and information architecture, focusing on data asset for the enterprise. Develop reusable standards, design patterns, guidelines, and configurations to evolve the technical infrastructure related to data and information across the enterprise, including direct collaboration with 84.51. Demonstrate the company’s core values of respect, honesty, integrity, diversity, inclusion and safety.
ESSENTIAL JOB FUNCTIONS:
Participate in the development and communication of data strategy and roadmaps across the technology organization to support project portfolio and business strategy Participate in, and drive, the development and communication of enterprise standards for data domains and data solutions, focusing on simplified integration and streamlined operational and analytical uses Provide technical leadership to ensure clarity between ongoing projects, including direct collaboration with 84.51Drive digital innovation by leveraging innovative new technologies and approaches to renovate, extend, and transform the existing core data assets, including SQL-based, NoSQL-based, and Cloud-based data platforms Define high-level migration plans to address the gaps between the current and future state Present opportunities with cost/benefit analysis to leadership to shape sound architectural decisions Lead the analysis of the technology environment to detect critical deficiencies and recommend solutions for improvement Mentor team members in data principles, patterns, processes and practices Promote the reuse of data assets, including the management of the data catalog for reference Draft and review architectural diagrams, interface specifications and other design documents Must be able to perform the essential job functions of this position with or without reasonable accommodation",10000+ Employees,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),
Epic Data Science Consultant,"Nordic Consulting Partners, Inc.",Remote,$107.50 /hr (est.),4.0,"Who we are
Healthcare organizations are challenged to deliver higher quality care at a lower cost. Our award-winning team provides consulting services focused on strategy, technology, and operations, as well as managed services, that result in a stronger business with better patient outcomes. Ranked as a best place to work by nine publications, Nordic’s culture provides our home office and consultants a supportive environment in healthcare that allows you to make a difference, be happy, and grow your career.
Nordic is seeking a talented Data Scientist Consultant for several consulting/ strategic opportunities! A Nordic consultant is more than just an expert. Our consultants take ownership of their work and the greater success of the organization. You'll need to tackle tough projects to help those organizations succeed.",1001 to 5000 Employees,2010,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
Data Scientist,Openmind Technologies,"Vacaville, CA",$57.50 /hr (est.),,"Duration: 6 months
Job Responsibilities include (but are not limited to):
Responsible for executing data engineering/analysis tasks, and writing reports to support data analysis solutions or model validation
Responsible for coordinating technical meetings and supporting process experts to translate a problem from the process/equipment domain into data engineering or analysis domain
Identifies opportunities for data science to overcome technology challenges
Skills
Some knowledge of statistical process control and data analysis techniques
Have experience working with equipment in the laboratory, pilot plant, or manufacturing settings
General knowledge of the underlying scientific principles applied to the development and manufacture of biopharmaceuticals.
Some understanding of the following software: R and/or Python
Understanding machine learning or experience in first principal modeling is a plus",,,,,,
Data Scientist,ClosedLoop,"Austin, TX","$92,089 /yr (est.)",4.8,"About ClosedLoop:
ClosedLoop.ai is healthcare's data science platform. Purpose-built and dedicated to healthcare, we make it easy for healthcare organizations (HCOs) to use AI to improve outcomes and reduce costs. Our platform combines an intuitive end-to-end machine learning platform with a comprehensive library of healthcare-specific features and model templates.
We're the leader in delivering unbiased accuracy and explainable AI healthcare solutions. Regardless of whether our customers have extensive data science teams or are just starting out, our products are engineered to help them harness the power of AI to improve patient outcomes, achieve clinical excellence, and enhance business success.",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Science Analytics Deveoper,Capgemini,"New York, NY","$113,281 /yr (est.)",3.8,"Data Science Analytics Developer
FT Base+Bonus+Benefits- New York Based
Job Responsibilities
Data Science Analytics Developer Lead Skills required Experienced professional with 10 12 years of experience developing and implementing statistical models in Big Data ecosystem i e Hadoop Spark HBase Hive Impala or any other similar distributed computing technology Proficiency with Python R and basic libraries for statistical econometric modeling such as scikit learn pandas
Experienced in Hadoop Spark HDFS Python R PySpark and other leading technologies Proficiency with DataIku or similar tools Proficiency in data analysis using complex and optimized SQL and or above mentioned technologies Understanding of data architecture structures data modeling and database design and performance management",10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist,Altana AI,"Brooklyn, NY","$180,000 /yr (est.)",3.9,"To solve climate change, wealth inequality, supply chain stability, and national security we must change how our global supply chains work. Altana is a Trusted Commerce Platform built on a shared source of truth for the global supply chain. The purpose of Altana is to enable resilient, sustainable, secure, and inclusive global commerce: Globalization 2.0.

We have built a layer of shared intelligence across the world's supply chain information: a living map of trillions of dollars of B2B commercial activity, covering 400M companies connected by billions of shipments. This knowledge graph powers Altana's Trusted Commerce Platform - the Altana Atlas - which, after only three years since founding, is already used by many of the world's most important governments, enterprises, and logistics providers.",51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Science Engineer,Triangulate Labs,"Cincinnati, OH","$180,000 /yr (est.)",,"Triangulate Labs is looking for a Data Science Engineer who will work closely with our technically minded founders to build and validate predictive analytics models using machine learning. You can expect to work on internal research and development as well as specific client engagements.
What we’re looking for:
Strong probability and statistics background
Proficient in predictive analytics
Proficient with Python and/or R and current high-performance machine learning libraries
Degree in Computer Science, Engineering, Mathematics, or similar field– Advanced degree is a plus",,,,,,
"Data Scientist, Data Science & Modeling",CardWorks,"South Jordan, UT","$134,452 /yr (est.)",3.1,"Merrick Bank employees share in our mission to delight our customers and empower underserved consumers to achieve their credit goals. In return, we delight our associates; ensuring they are noticed, heard, appreciated and understand the importance of their role(s). For over 20 years, our Guiding Principles of; doing the right thing, putting the customer first, and Earn, Learn, Have Fun (aka E.L.F.), have defined who we are as an Employer of Choice. Give Yourself Credit, Work at Merrick!
The Data Scientist position will work closely with the other Data Scientists and Data Engineers on the team to produce the machine learning models, statistical models, and complex statistical analyses for the bank. This position works on state of the art problems, using state of the art systems, on a team with dozens of years of combined expertise and experience that truly believes in team work, as well as individual growth and development.",501 to 1000 Employees,1987,Company - Private,Banking & Lending,Financial Services,$50 to $100 million (USD)
Student Employee - Data Science,Electric Power Research Institute,"Charlotte, NC","$82,980 /yr (est.)",5.0,"Job Title:
Student Employee - Data Science
Location:
Charlotte, NC
Job Summary and Description:
This role is primarily related to Data Science, so degree programs focused on scientific disciplines in this area are preferred.
Candidates will support subject matter experts and data scientists in a variety of data analysis tasks that may include: literature review; data review and preparation; model development and implementation; and model results review and assessment.
This opportunity will require the candidate to be in a degree program that is focused on engineering or scientific disciplines. These include, but are not limited to:",Unknown,Company - Private,Unknown / Non-Applicable,,,
Data Science Engineer,Moorecroft Systems,Remote,$52.50 /hr (est.),,"Senior Data Science Engineer
Moorecroft is looking to hire a seasoned Data Science Engineer with experience working with petabyte-size data sets to assist one of our Global Media Company clients. They are leaders in the entertainment and streaming business. This consulting role will continue for multiple years and can done Remotely.
The role will be to work closely with their Data Science and CRM teams to leverage a multitude of Data assets sources to reach impactful and actionable data driven insights. You will lead cross function Sprints, champion best coding practices of Data Science teams, build relationships with business partners.
Core Skills and Experience needed",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,,,
Data Science Engineer,Dataquestcorp,"Branchburg, NJ","$75,000 /yr (est.)",,"We are providing free training and placement opportunity on data science like python, tableau, Machine learning and Bigdata.
Benefits:
Free Training and placement.
H1B Sponsorship
We do support for STEM OPT and GC processing.
Health Insurance
Relocation Assistance any where in USA.",,,,,,
Data Engineer,eTeam Inc.,"Thomasville, GA","$91,760 /yr (est.)",4.4,"Senior level with 6 9 years experience data engineering or architecture role.

Key skills will be:
ADF
Use of logic apps
Databricks; SQL and/or Python notebooks
ADLS storage
Experience with AAS
Experience with SAP data sources
Experience working with analytics and data science teams",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Junior Data Scientist,Augray,"Brookfield, WI","$57,500 /yr (est.)",4.3,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data science instructor,MIM,Remote,"$131,513 /yr (est.)",,"ABOUT MIM
MIM is a New York based institution that offers management and technology courses since 1984. Given the growing demand for skilled and passionate data scientists, MIM is looking for experienced and passionate instructors for its Data Science Bootcamp. This program will allow our graduates to enhance their data analytics and technology skills hands-on by working with data, writing code and building machine learning models. It will help them find many new career opportunities for make career changes.
https://www.mimusa.edu/
Job Description
Role Description",,,,,,
BHJOB15656_16794 - Data Scientist,Myticas Consulting,Remote,"$131,513 /yr (est.)",3.7,"The recruitment team here at Myticas is looking to hire 2 Data Scientists to assist with building our client's nextgen (next generation) of advanced analytics products using AI, Data Science, and ML (Machine learning).
The Data Scientists we are seeking will collaborate across internal teams to create predictive models and identify opportunities to make informed business decisions and create value for our customer base. The primary responsibilities will be applying a knowledge of statistics, machine learning (ML) programming, data modeling, simulation, and advanced mathematics for recognizing patterns, identify opportunities, posing business questions, and making valuable discoveries leading to prototype development and new product offerings.
REQUIREMENTS:",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,
Data Science Assistant,United Nations,"New York, NY","$88,585 /yr (est.)",4.0,"This position is located in the Analytics Section of the Analytics and Project Management Service of the Business Transformation and Accountability Division (BTAD) in the Department of Management Strategy, Policy and Compliance (DMSPC). The incumbent reports to a Data Scientist.

For more information, please visit https://www.un.org/management/content/our-offices.
Responsibilities
Within delegated authority, the Data Science Assistant will be responsible for the following duties:

Assists with the preparation of input for response to requests for exploration, identification, and acquisition of data sources to determine their suitability for use in decision making and advancing the goals of the organization.
Competencies



Education
Work Experience








Languages
Assessment
Special Notice






United Nations Considerations










No Fee",10000+ Employees,1945,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
Data Scientist (Junior),BDSA,"Louisville, CO","$100,000 /yr (est.)",1.5,"Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data Scientist, you will work on highly complex projects supporting the Product and Professional Services teams with data wrangling, data cleaning, and data reporting tools and techniques.
Your day-to-day activities will involve using heterogeneous datasets to derive insights and automation. For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and deduplicate data.
QC/QA processes are critical elements of this work and you will spend substantial time automating and managing automated QC/QA systems. The datasets grow substantially day by day and automation of the QC/QA environment is a top priority.",Unknown,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,
Data Engineer,WALTLabs.io,Remote,"$110,000 /yr (est.)",,"WALTLabs.io is looking for an experienced and talented Data Engineer. The data engineer will be responsible for designing and building data pipelines within the GCP Ecosystem. This position will be partly client-facing.
Responsibilities
Build data systems and pipelines
Evaluate business needs and objectives
Prepare data for prescriptive and predictive modeling
Combine raw information from different sources
Daily delivery of work inside JIRA",,,,,,
Data Science Engineer,eTeam Inc.,"Chicago, IL","$91,578 /yr (est.)",4.4,"Primary Responsibilities:
Design machine learning systems to automate predictive models.
Develop Client algorithms to analyze historical data to make predictions.
Run tests, performing statistical analysis, and interpreting test results.
Develop and support data pipelines to extract, transform and load data into Google Data Center data warehouse.
Demonstrate ability and willingness to learn quickly and complete large volumes of work with high quality.",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Engineer,Amazon,Remote,"$275,000 /yr (est.)",3.8,"BASIC QUALIFICATIONS
5+ years of experience as a Data Engineer or in a similar role
Bachelor's degree in Computer Science, Engineering, Mathematics, or a related technical discipline.
4+ years of industry experience in Software Development, Data Engineering, Business Intelligence, Data Science, or related field with a track record of manipulating, processing, and extracting value from large datasets.
PREFERRED QUALIFICATIONS
Masters in computer science, mathematics, statistics, economics, or other quantitative fields.",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Scientist III,GTA (Global Technology Associates),"Englewood, CO","$80,000 /yr (est.)",4.4,"Looking for a Data Scientist III
What you will be doing as a Data Scientist III
Create applications using video analytics algorithms across different verticals
Create demos and PoCs using open-source libraries (GitHub) and hardware like Raspberry PI, Nvidia Jetson.
Collect and feature engineer data to train AI/ML models
Execute test cases and report results.
Debug equipment issues and collect logs.
Write scripts to automate testing and collect data.",Unknown,Company - Private,Unknown / Non-Applicable,,,
Jr. Data Scientist,Net2Aspire,Remote,"$72,500 /yr (est.)",," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.",,,,,,
Junior Data Scientist,Acima,"Draper, UT","$80,000 /yr (est.)",3.7,"ACIMA
Acima Credit is a young and dynamic leasing company that provides consumers financing options for life necessities that otherwise would not be available to them. We help with financing options from tires/wheels to furniture and appliances. Acima blends the use of innovative online technology with a fast and easy application process for thousands of retailers nationwide. Customers love us because we make the impossible possible. Retailers love us because we make it easy for them.
Summary:
We are looking for a developing data scientist that is interested in applying their understanding of machine learning techniques and statistics to analyze our many complex datasets. They will be nose deep in interesting payment, behavioral, credit, fraud, and economic datasets, to name a few. The insights gleaned and models trained from the analyses done on these datasets can quickly change the course of the company.",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
